name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Prince of Persia: The Sands of Time,"28 May, 2010",[],Adventure,,Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",4.0,3.9,"The high point of the film is its stellar ensemble cast headed by Ben Kingsley who lends gravitas to the entire proceedings as Nizam, the King's brother.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Daybreakers,"28 May, 2010",[],Sci-Fi,,Ethan HawkeActor,"['Willem Dafoe', 'Sam Neill', 'Claudia Karvan']",3.0,2.9,This one's for those who still haven't had their fill of vampire lore which happens to be the current craze in Hollywood and those who like their vampires mostly mean and monster-like.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Shrek Forever After,"21 May, 2010",[],Animation,,Mike Mitchell,"['Cameron Diaz', 'Antonio Banderas', 'Eddie Murphy']",3.0,3.7,"Go watch your favourite ogre live out the ugly-is-beautiful revisionist tale, once again. And make you feel good about it.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Remember Me,"14 May, 2010",[],Romance,,Allen Coulter,"['Robert Pattinson', 'Emilie de Ravin', 'Pierce Brosnan']",3.5,3.8,"Set against 9/11, Remember Me is an immensely watchable romance, even as it paints a touching picture of loss and redemption against a violence-scarred backdrop. Raise a toast for RPatz.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Back-Up Plan,"14 May, 2010",[],Romance,,Alan Poul,,3.0,2.7,"It may be nothing to rave about, yet, The Back-Up Plan is good while it lasts, with Jennifer Lopez managing to hold your attention with her attempt at motherhood.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Last Song,"07 May, 2010",[],Drama,,Miley CyrusActor,,3.0,3.4,The highpoint of the film are the special moments created by Greg Kinnear and Miley Cyrus as they develop a warm and tender father-daughter relationship. Let them tug at your heart.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Iron Man 2,"07 May, 2010",[],Action,,Jon Favreau,,3.5,3.8,"The sequel is one hellish and hungama-filled ride into the world of high-octane drama. It may lack the finesse of the first film, but there's enough to keep the adrenalin pumping.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
It's A Wonderful Afterlife,"07 May, 2010",[],Comedy,,Gurinder Chadha,,2.5,2.6,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Hot Tub Time Machine,"30 Apr, 2010",[],Comedy,,Steve Pink,"['John Cusack', 'Craig Robinson', 'Rob Corddry']",2.5,2.9,"The retro scenes do have a comic feel to it, nevertheless, Hot Tub Time Machine lacks the panache of time travel films like Back To The Future. The laughs too come in fits and starts.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Astro boy,"30 Apr, 2010",[],Animation,,David Bowers,,3.0,3.6,"Astro Boy, with its colourful animation and its dramatic voice-overs is perfect weekend fare for kids who need a break from the violent games on play station.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Fly me to the moon,"30 Apr, 2010",[],Animation,,Ben Stassen,,3.0,3.4,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
